group,object_name,label,table_column,type,allowed_values,purpose,how_it_works,used_in,confidence,notes
Dati anagrafici,Standardfield16,Tipo azienda,U_AZI_AN.AZI_FABBR,text,,Tipo azienda,Letto direttamente dalle tabelle U_AZI_* in LAVOSTAM: `V_TESTATA2 = ALLTRIM(AZI_FABBR)`,LAVOSTAM.PRG;MDBSTAM.PRG;MRISTAM.PRG,ALTA,
Dati anagrafici,Standardfield17,Descrizione libera,U_AZI_AN.AZI_LIBERA,text,,Descrizione libera,Caricato all'avvio in PUB_LIBERA (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_LIBERA = ''`,APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG;adminlib.PRG (AQUADOCU),ALTA,
Dati anagrafici,Standardfield2,Ragione sociale,U_AZI_AN.AZI_RAGSOC,text,,Ragione sociale,Caricato all'avvio in PUB_RAGSOC (APPLILIB.AQUADOCU); condiziona CBIMAKER.legge_config_cbi: `IF !EMPTY(PUB_RAGSOC)`,APPLILIB.PRG (AQUADOCU);CBIMAKER.PRG (legge_config_cbi);ACQUISISCI_ART_XLS.PRG;BTOF2.PRG,ALTA,Controllo presente in piu tab del form.
Dati anagrafici,Standardfield3,Località,U_AZI_AN.AZI_LOCALI,text,,Località,Letto direttamente dalle tabelle U_AZI_* in CEI: `M.ORD_LOCALI = AZI_LOCALI`,CEI.PRG;CEIFCREA.PRG;CONTABILELIBOLD.PRG (AQUADATI),MEDIA,Controllo presente in piu tab del form.
Dati anagrafici,Standardfield4,Indirizzo,U_AZI_AN.AZI_INDIRI,text,,Indirizzo,Letto direttamente dalle tabelle U_AZI_* in CEI: `M.ORD_INDIRI = AZI_INDIRI`,CEI.PRG;CEIFCREA.PRG;CONTABILELIBOLD.PRG (AQUADATI),MEDIA,Controllo presente in piu tab del form.
Dati anagrafici,Standardfield5,Partita iva,U_AZI_AN.AZI_PIVA,text,,Partita iva,Caricato all'avvio in PUB_PIVA (APPLILIB.AQUADOCU); condiziona CBIMAKER.legge_config_cbi: `IF !EMPTY(PUB_PIVA)`,APPLILIB.PRG (AQUADOCU);CBIMAKER.PRG (legge_config_cbi);STAMPA_ALLEGATO_RAPPORTO_CONTROLLO_TREVICALOR.prg,MEDIA,Controllo presente in piu tab del form.
Dati anagrafici,Standardfield14,Cap,U_AZI_AN.AZI_CAP,text,,Cap,"Caricato all'avvio in PUB_CAP (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_CAP = """"`",APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG,MEDIA,
Dati anagrafici,TEXT1,Codice cliente,U_AZI_AN.AZI_CODCLI,text,,Codice cliente,"Caricato all'avvio in PUB_CLISOC (APPLILIB.AQUADOCU); condiziona PFP_AVANZA_LIB.PFP_RISTAMPA_ETICHETTE_BANCALE: `REPLACE ORDINE WITH IIF(CODCLI = PUB_CLISOC, ""Stock di magazzino"", ALLTRIM(RAGSOC) + IIF(!EMPTY(NUMORD),"" - N° "" + ALLTR`",APPLILIB.PRG (AQUADOCU);PFP_AVANZA_LIB.PRG (PFP_RISTAMPA_ETICHETTE_BANCALE);ACQUISISCI_ART_XLS.PRG;ARTICOLI_SOTTOSCORTA.PRG,ALTA,
Dati anagrafici,Standardfield1,Provincia,U_AZI_AN.AZI_CODFIS,text,,Provincia,Caricato all'avvio in PUB_CODFIS (APPLILIB.AQUADOCU); condiziona CBIMAKER.legge_config_cbi: `IF !EMPTY(PUB_CODFIS)`,APPLILIB.PRG (AQUADOCU);CBIMAKER.PRG (legge_config_cbi);STARTUP_MODIFICHE.PRG,MEDIA,Controllo presente in piu tab del form.
Dati anagrafici,Standardfield6,Partita iva cee,U_AZI_AN.AZI_IVACEE,text,,Partita iva cee,Caricato all'avvio in PUB_IVACEE (APPLILIB.AQUADOCU); condiziona STARTUP_MODIFICHE: `PUB_IVACEE = ''`,APPLILIB.PRG (AQUADOCU);STARTUP_MODIFICHE.PRG;adminlib.PRG (AQUADOCU),ALTA,
