colonna,usata_dal_flusso_cee,semantica,evidenza,confidence,note
BIL_CODSOC,SI,Societa' della riga (scoping multi-societa'),ceecont.PRG r.23-24: UPDATE BILNEW SET CORRENTE=0 WHERE bil_codsoc=PUB_CODSOC,ALTA,
BIL_CODRIG,SI,"Codice voce CEE (numerico in varchar, confronti con PADL a 10). E' anche l'ORDINE di stampa (order by bil_codrig) e codifica la sezione: VAL(codrig) >= 21600 = conto economico (reso in valore assoluto), < 21600 = stato patrimoniale","ceecont.PRG r.77-118 (PADL/accumulo), r.160-163 (soglia 21600 + ABS); menu_stbilcee: select * from bilnew order by bil_codrig",ALTA,Il confine attivo/passivo dentro lo SP non e' codificato nei sorgenti: e' implicito nella numerazione delle voci (dati)
TIPO_DATO,SI,"Tipo riga: I=Commenti (intestazione), V=Dettagli di riga (riceve i saldi dei conti), T=Totali (riceve dalle confluenze U_COR_TT)","menu_cee000 Valid (verbatim): 'Inserire I=Commenti, V=Dettagli di riga, T=Totali'; STBILCEE.FRX: campi con condizione di stampa TIPO_DATO='T' (stile dedicato ai totali)",ALTA,
DESCRIZION,SI,Descrizione della voce CEE stampata sul prospetto,STBILCEE.FRX: campo DESCRIZION; menu_cee000 label 'Descrizione',ALTA,
CORRENTE,SI,"Valore CALCOLATO dell'esercizio in corso: azzerato a inizio calcolo, accumulato dai saldi dei conti (fase 2) e dalle confluenze dei totali (fase 3)","ceecont.PRG r.23 (reset), r.131 (REPLACE CORRENTE WITH CORRENTE+V_IMPATT), r.262 (CORRENTE+V_TOTALE)",ALTA,"BILNEW conserva anche i VALORI, non solo la struttura"
PRECEDENTE,SI,"Valore dell'esercizio precedente, stampato a confronto; alimentato dal 'nuovo esercizio'",menu_ceeanno: REPLACE PRECEDENTE WITH CORRENTE; REPLACE CORRENTE WITH 0; STBILCEE.FRX campo PRECEDENTE,ALTA,
BIL_NOTA,NO,Nota testuale della riga (memo),Nessun uso nel flusso CEE (ceecont/stbilcee/menu_cee*),INCERTO,Campo presente ma non letto dal flusso analizzato
TIPO_RECOR,NO,Tipo record: previsto come discriminatore generico della tabella (parametro _tiporec di PROJLIB.seek_bilnew) ma NON applicato nella query dell'helper ne' letto dal flusso CEE,PROJLIB.PRG FUNCTION seek_bilnew: _tiporec ricevuto e ignorato (query solo su bil_codrig/descrizion),INCERTO,Probabile retaggio di tabella-struttura generica
COD_CATEG,NO,Categoria (retaggio tabella generica),Nessun uso nel flusso CEE,INCERTO,
COD_CATEG1,NO,Categoria secondaria (retaggio),Nessun uso nel flusso CEE,INCERTO,
FLAG1,NO,Flag generico non usato dal flusso CEE,Nessun uso nel flusso CEE,INCERTO,
FLAG2,NO,Flag generico non usato dal flusso CEE,Nessun uso nel flusso CEE,INCERTO,
FLAG3,NO,Flag generico non usato dal flusso CEE,Nessun uso nel flusso CEE,INCERTO,
FLAG4,NO,Flag generico non usato dal flusso CEE,Nessun uso nel flusso CEE,INCERTO,
FLAG5,NO,Flag generico non usato dal flusso CEE,Nessun uso nel flusso CEE,INCERTO,
FLAG_NEW,NO,Flag generico non usato dal flusso CEE,Nessun uso nel flusso CEE,INCERTO,
NO_REC,NO,Numero record (retaggio import/export a tracciato),Nessun uso nel flusso CEE,INCERTO,
NOME_DBF,NO,Nome archivio di provenienza (retaggio tabella-struttura generica condivisa tra prospetti),Nessun uso nel flusso CEE,INCERTO,
PROGR,NO,Progressivo (retaggio),Nessun uso nel flusso CEE,INCERTO,
PROGR_DEPO,NO,Progressivo deposito (retaggio),Nessun uso nel flusso CEE,INCERTO,
PROGR_WORK,NO,Progressivo di lavoro (retaggio),Nessun uso nel flusso CEE,INCERTO,
EFFETTO1,NO,Importo generico (retaggio),Nessun uso nel flusso CEE,INCERTO,
EFFETTO2,NO,Importo generico (retaggio),Nessun uso nel flusso CEE,INCERTO,
EFFETTO3,NO,Importo generico (retaggio),Nessun uso nel flusso CEE,INCERTO,
EFFETTO4,NO,Importo generico (retaggio),Nessun uso nel flusso CEE,INCERTO,
VALORE,NO,Importo generico (retaggio),Nessun uso nel flusso CEE,INCERTO,
COD_RAGGRU,NO,Codice raggruppamento (retaggio),Nessun uso nel flusso CEE,INCERTO,
ALIQ1,NO,Aliquota (retaggio),Nessun uso nel flusso CEE,INCERTO,
ALIQ2,NO,Aliquota/flag (retaggio),Nessun uso nel flusso CEE,INCERTO,
ONERE,NO,Importo onere (retaggio),Nessun uso nel flusso CEE,INCERTO,
F11,NO,Flag generico (retaggio),Nessun uso nel flusso CEE,INCERTO,
INDICE,NO,Indice (retaggio),Nessun uso nel flusso CEE,INCERTO,
IND_PROS,NO,Indice prospetto (retaggio),Nessun uso nel flusso CEE,INCERTO,
COS_CORR,NO,Costo corrente (retaggio),Nessun uso nel flusso CEE,INCERTO,
DIFF,NO,Differenza (retaggio),Nessun uso nel flusso CEE,INCERTO,
DIFF_PERC,NO,Differenza percentuale (retaggio),Nessun uso nel flusso CEE,INCERTO,
CAL_AUT,NO,Calcolo automatico (retaggio),Nessun uso nel flusso CEE,INCERTO,
PAR_VALUTA,NO,Valuta (retaggio),Nessun uso nel flusso CEE,INCERTO,
id_unique,SI,Chiave tecnica SQL Server (uniqueidentifier),Convenzione di migrazione VFP->SQL del progetto,ALTA,
